"title","authors","abstract"
"APPROACHES TO GRADUATE ATTRIBUTES AND CONTINUAL IMPROVEMENT PROCESSES IN FACULTIES OF ENGINEERING ACROSS CANADA: A NARRATIVE REVIEW OF THE LITERATURE","A.M. Parker; E.  Watson; M.  Ivey; J. P.  Carey","The CEAB accreditation requirement of graduate attributes and continual improvement processes (GACIP) has been a pervasive topic in the annual CEEA conference proceedings since 2010. The proceedings are a rich primary source of work being done in Canadian tertiary institutions. This narrative review of the literature consolidates and discusses the relevant CEEA papers for 2010-2017 in a manner that is useful to leadership and decision-makers at accredited faculties of Engineering nationwide.
Four guiding research questions were asked of this literature: (1) What general frameworks are being implemented as accredited faculties of Engineering across Canada approach GACIP?; (2) What are the specific activities and methods of one or more of the GACIP steps?; (3) What are the roles and responsibilities of people involved?; and (4) What perspectives are taken in response to the CEAB accreditation criteria, including concerns, issues, and benefits? A qualitative content analysis was conducted on 106 papers meeting selection criteria. Emergent topics were used to form the discussion.
&nbsp;"
"LEARNING ELECTRONICS THROUGH STORYTELLING","Libby  Osgood; Nadja  Bressan","STEM (Science, Technology, Engineering, and Math) initiatives have expanded to include ‘art’ withthe moniker: STEAM (Science, Technology, Engineering, Art, and Math). This acknowledges the importance of creativity in the technical fields and poses the question: How do we incorporate art into the engineering classroom? This paper presents one attempt to incorporate the artof storytelling in a first-year engineering design course in January 2021. It was found that compared with students who received a traditional lecture to learn basic electronicconcepts, the students who used an illustrated storybook to learn the same concepts took significantly less time to replicate a sample circuit (p &lt; .001), and performed better in a post-activity assessment (p &gt; .05). These results indicate that the use of storytelling can be an effective wayto transmit technical content in an engineering classroom, and further studies should be pursued."
"CHARACTERIZING THE ENGINEERING EDUCATION GRADUATE STUDENT EXPERIENCE IN CANADA: RESEARCH DEVELOPMENT & REFLECTIONS","Jillian Seniuk Ciceka; Liz Kuleyb; Patricia Sheridan; Robyn Mae Paul","Four Canadian Engineering Education students from the Universities of Manitoba, Saskatchewan, Toronto and Calgary have conceptualized conducting a national study to characterize the identities of graduate students studying Engineering Education in Canada. We developed the Canadian Engineering Education Student Identity Study (CEESIS). This is a mixed methods cross-case comparison research study designed to explore how Canadian Engineering Education graduate students’ identities are  formed through the intersection of our intellectual, institutional and  networking academic experiences nested within our personal lives.In this paper, we detail the realization, purpose, benefits, theoretical design and methodology of this study. The development of our theoretical framework and survey through the use of McAlpine’s identity-trajectory construct is discussed. We conclude with individual personal reflections on how this research process has shaped our own growth as Engineering Education graduate students and how participation in this research group has influenced our understanding and identity of being Engineering Education graduate students and emerging Engineering Education  researchers in Canada"
"A SNAPSHOT METHODOLOGICAL REVIEW OF JOURNAL ARTICLES IN ENGINEERING EDUCATION RESEARCH","Qin  Liu","Explicit discussion of methodology is important to better understand how knowledge claims are made in a field. In light of a methodological taxonomy, this exploratory review paper examined the research topics and methodologies that were used in a sample of 142 articles published in 2018 by four major engineering education journals. The analysis reveals that engineering education research exhibits varied profiles in different engineering education journals. It also identifies several patterns and trends in the current state of engineering education research. The findings will not only provide novice engineering education researchers with a snapshot, yet an illustrating view, of the emerging field of EER but also offer a starting point to examine critical questions in the field of EER, such as quality and rigor.
&nbsp;"
"THE IMPACT OF INDIGENOUS KNOWLEDGES AND PERSPECTIVES IN ENGINEERING EDUCATION: ONE STUDENT’S STORY","George  Kilada; Victoria  Thomsen; Jillian  Seniuk Cicek; Afua  Adobe Mante; Randy  Herrmann","A qualitative narrative study was designed to examine the impact on students’ learning when an Elder came to speak to students in a Technology, Society and the Future course in the Price Faculty of Engineering at the University of Manitoba. This study accounts for one student’s story as heard through an open-ended narrative interview facilitated by a team of researchers, and restoried into a problem-solution narrative structure. The preliminary findings highlight the impact of the Elder’s teachings on the student, the importance of Indigenous People’s Knowledges and perspectives in engineering education, and the importance of making space for students to reflect on these learnings."
"Should they learn to know it first? On the role of critical interpretation and critique in introductory engineering design education","Edmund Nolan; Benjamin Kinsella; Lydia Wilkinson; Jay Pooley","Engineering education at the university level typically includes a first-year course on engineering design. While critical interpretation skills are involved in teaching the design process, those skills themselves are not a main focus, or considered prerequisite to design learning. Other creative fields—including architecture, drama and creative writing—expect students to have experience interpreting and critiquing their art form before they begin creating at a university level. Based on experience teaching first year engineering design, our students are far less likely to have that experience. We investigate the impact of that gap, establish a basis for further research and gain a more coherent picture of how engineering design education compares to other creative fields, in particular as regards the role of critical interpretation and the related practice of critique."
"A Review of Trends in Engineering Education Research from an Equity, Diversity, and Inclusion Perspective","Branna MacDougall; Demewoz Menna; Bronwyn Chorlton","Equity, diversity, and inclusivity (EDI) have been a topic of high interest in recent years as engineering trends towards becoming a diverse and inclusive profession for all. The purpose of this research is to understand trends in EDI-related engineering education research in Canada over the past ten years and to allow for a reflection of previously identified needs that have yet to see change. This study considers engineering education papers based in Canada published from 2013 through 2022. Several unique subsets of EDI have been consistent areas of interest throughout the past 10 years; gender has been and remains one of the top researched EDI topics, with race and ethnicity receiving approximately consistent research attention throughout, albeit to a lesser extent than gender. Certain areas of diversity have seen consistently little research attention throughout the years, such as the need to consider accessibility in engineering education and practice."
"A STORY TELLING APPROACH FOR TEACHING ENGINEERING COURSES: A MINI-CASE METHOD","Milad Shakeri Bonab; Mohammadamin Ghasemzadeh; Roozbeh Alishahian; Alidad Amirfazli","Engineering courses should connect theory and practice, promote critical thinking, and engage students. Traditional teaching methods are becoming less appealing, and new strategies such as Problem-Based Learning and Flipped Classrooms have not been widely adopted. Case studies have been tried before, but open-ended ones require a complete overhaul of teaching methods and can end up feeling like projects rather than classroom tools. The mini-case approach is introduced as an in-class teaching tool to better engage students and show them the real-world implications of what they are learning. The mini-case structure includes a story, objective statement, student ideation, synthesis of students' ideas, simplification and working model, solution, conclusion, and discussion. The story is crucial to generating interest and retaining attention. The objective statement summarizes the case study's story, goals, and constraints in a single sentence. Students ideate about how to approach the problem, and their ideas are synthesized into a model that is simplified to fit the class's constraints. The solution is either analytical or numeric, and the case study objective statement is revisited to examine whether the requirements and criteria have been met. Reflection on the process and what the results mean is encouraged. The Mini Applied Case Studies (MACS) framework was developed as a structured approach to problem-solving in engineering courses. In the context of a Dynamics class, the framework was applied to the crank-slider mechanism, a challenging topic that students often struggle to understand. The MACS method successfully engaged students and developed their problem-solving skills. Feedback indicated that students found the method effective and interactive. Further research is needed to determine the full potential of the MACS method in other academic contexts."
"Research Through Design – A research paradigm that integrates engineering designers and engineering education researchers","Jason Foster; Alison Nandram","Engineering education as currently practiced is effectively undertaking traditional educational research in an engineering context. While valuable for understanding and promoting change in engineering education, this approach calls into question why engineering education should be redefined as a unique research discipline. This research paper explores an emerging research paradigm – ""Research Through Design"" (RTD) – and suggests how it can be integrated into engineering education research. The aim of this paper is to provide a practical understanding of the history, objectives, and methods of RTD, and to assess its potential applicability both to advance engineering education research and to integrate the engineering education research community"
"Reflections on my engineering student experience and career path: Exploring my positionality and the impact to my research","D'Andre Wilson-Ihejirika","Critical reflection and positionality has become more common in engineering education research. I am a PhD student pursuing research to explore the influence of the undergraduate experience on career pathways for engineering graduates. The purpose of this critical reflection is to determine which aspects of my undergraduate experience and career path might have been influential for me and how this impacts my research process. This reflection included narratives describing pivotal moments or experiences in my undergraduate degree and career path, theming them using an inductive approach. The majority of experiences deemed to be pivotal or influential to my career were related to my sense of belonging and my involvement in student clubs. These experiences have affected my research process through my research topic, methodology and how I relate to my research participants. This allows me to be cognizant of my biases as I continue my PhD research."
